0.65,4455,0.0873278
0.66,4272,0.0822613
0.67,5523,0.0980651
0.68,5956,0.0877162
0.69,6269,0.0854123
0.7,6977,0.0914447
0.71,7165,0.0939902
0.72,7459,0.0905115
0.73,8947,0.0973225
0.74,8505,0.0977624
0.75,9931,0.1042236
0.76,10811,0.0988353
0.77,11847,0.1062736
0.78,12838,0.0989464
0.79,13277,0.1091538
0.8,16197,0.1097671
0.81,16333,0.1100892
0.82,18090,0.1154922
0.83,18698,0.122298
0.84,19964,0.1222227
0.85,21551,0.1313089
0.86,23902,0.1363876
0.87,22598,0.1421342
0.88,31538,0.1503429
0.89,29198,0.1600873
0.9,33302,0.1686871
0.91,33563,0.1806929
0.92,39637,0.1877305
0.93,43069,0.1979056
0.94,45047,0.2220515
0.95,46218,0.2403795
0.96,46714,0.2655263
0.97,45786,0.2986909
0.98,42960,0.3650457
0.99,23175,0.4607092
1,9615,0.6051096
1.01,2360,0.7096262
